Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.4-2001.4,244,298,1.221311475409836,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2001.4-2002.4,244,238,0.9754098360655737,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2002.4-2003.4,244,230,0.9426229508196722,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2003.4-2004.4,244,232,0.9508196721311475,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2004.4-2005.4,244,232,0.9508196721311475,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2005.4-2006.4,244,224,0.9180327868852459,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2006.4-2007.4,244,232,0.9508196721311475,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2007.4-2008.4,244,234,0.9590163934426229,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2008.4-2009.4,244,224,0.9180327868852459,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2009.4-2010.4,244,232,0.9508196721311475,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2010.4-2011.4,244,237,0.9713114754098361,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2011.4-2012.4,244,224,0.9180327868852459,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
2012.4-2013.4,244,236,0.9672131147540983,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_4-0_1\Flow_Node0-Node5.csv
