Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.0-2001.0,122,122,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N4\daisy_chain_small_1200_2-0_0\Flow_Node0-Node6.csv
2001.0-2002.0,122,123,1.0081967213114753,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N4\daisy_chain_small_1200_2-0_0\Flow_Node0-Node6.csv
2002.0-2003.0,122,122,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N4\daisy_chain_small_1200_2-0_0\Flow_Node0-Node6.csv
2003.0-2004.0,121,121,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N4\daisy_chain_small_1200_2-0_0\Flow_Node0-Node6.csv
