Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000008193295_Node0_Node5_Zero,2000.008193,2000.066762,1,RetryLimit,0,0,nan
2000016392921_Node0_Node5_Zero,2000.016393,2000.07588,0,,0,7.572525408e-13,0
2000024587117_Node0_Node5_Zero,2000.024587,2000.07588,0,,0,7.572525408e-13,0
2000032781841_Node0_Node5_Zero,2000.032782,2000.07787,0,,0,7.572525408e-13,0
2000040977830_Node0_Node5_Zero,2000.040978,2000.07787,0,,0,7.572525408e-13,0
2000049179226_Node0_Node5_Zero,2000.049179,2000.07984,0,,0,7.572525408e-13,0
2000057373352_Node0_Node5_Zero,2000.057373,2000.07984,0,,0,7.572525408e-13,0
2000065574843_Node0_Node5_Zero,2000.065575,2000.083724,0,,0,7.572525408e-13,0
2000073766827_Node0_Node5_Zero,2000.073767,2000.083724,0,,0,7.572525408e-13,0
2000081968022_Node0_Node5_Zero,2000.081968,2000.092729,0,,0,7.572525408e-13,0
2000090167751_Node0_Node5_Zero,2000.090168,2000.092729,0,,0,7.572525408e-13,0
2000098364932_Node0_Node5_Zero,2000.098365,2000.100622,0,,0,7.572525408e-13,0
2000106563817_Node0_Node5_Zero,2000.106564,2000.107637,0,,0,7.572525408e-13,0
2000114761123_Node0_Node5_Zero,2000.114761,2000.115855,0,,0,7.572525408e-13,0
2000122961774_Node0_Node5_Zero,2000.122962,2000.125282,0,,0,7.572525408e-13,0
2000131155038_Node0_Node5_Zero,2000.131155,2000.132389,0,,0,7.572525408e-13,0
2000139353509_Node0_Node5_Zero,2000.139354,2000.140567,0,,0,7.572525408e-13,0
2000147553992_Node0_Node5_Zero,2000.147554,2000.156103,0,,356,7.572525408e-13,0
2000155746599_Node0_Node5_Zero,2000.155747,2000.175944,0,,59,7.572525408e-13,0
2000163939091_Node0_Node5_Zero,2000.163939,2000.175944,0,,59,7.572525408e-13,0
2000172136827_Node0_Node5_Zero,2000.172137,2000.182402,0,,0,7.572525408e-13,0
2000180328925_Node0_Node5_Zero,2000.180329,2000.182402,0,,0,7.572525408e-13,0
2000188523526_Node0_Node5_Zero,2000.188524,2000.189537,0,,0,7.572525408e-13,0
2000196717002_Node0_Node5_Zero,2000.196717,2000.197791,0,,0,7.572525408e-13,0
2000204911466_Node0_Node5_Zero,2000.204911,2000.206105,0,,0,7.572525408e-13,0
2000213107582_Node0_Node5_Zero,2000.213108,2000.214421,0,,0,7.572525408e-13,0
2000221300258_Node0_Node5_Zero,2000.2213,2000.222494,0,,0,7.572525408e-13,0
2000229499831_Node0_Node5_Zero,2000.2295,2000.230773,0,,0,7.572525408e-13,0
2000237698269_Node0_Node5_Zero,2000.237698,2000.240884,0,,0,8.41391712e-13,0
2000245898594_Node0_Node5_Zero,2000.245899,2000.247369,0,,0,8.41391712e-13,0
2000254099195_Node0_Node5_Zero,2000.254099,2000.257733,0,,0,7.572525408e-13,0
2000262296076_Node0_Node5_Zero,2000.262296,2000.26343,0,,0,7.572525408e-13,0
2000270491690_Node0_Node5_Zero,2000.270492,2000.271505,0,,0,7.572525408e-13,0
2000278692071_Node0_Node5_Zero,2000.278692,2000.279786,0,,0,7.572525408e-13,0
2000286891816_Node0_Node5_Zero,2000.286892,2000.287965,0,,0,7.572525408e-13,0
2000295086336_Node0_Node5_Zero,2000.295086,2000.301335,0,,46,7.572525408e-13,0
2000303280798_Node0_Node5_Zero,2000.303281,2000.304841,0,,0,7.572525408e-13,0
2000311477787_Node0_Node5_Zero,2000.311478,2000.312631,0,,0,7.572525408e-13,0
2000319678699_Node0_Node5_Zero,2000.319679,2000.320852,0,,0,7.572525408e-13,0
2000327878235_Node0_Node5_Zero,2000.327878,2000.359697,0,,0,7.572525408e-13,0
2000336070078_Node0_Node5_Zero,2000.33607,2000.362808,0,,10,7.572525408e-13,0
2000344266865_Node0_Node5_Zero,2000.344267,2000.362808,0,,10,7.572525408e-13,0
2000352462369_Node0_Node5_Zero,2000.352462,2000.364678,0,,10,7.572525408e-13,0
2000360662845_Node0_Node5_Zero,2000.360663,2000.364678,0,,10,7.572525408e-13,0
2000368860992_Node0_Node5_Zero,2000.368861,2000.370015,0,,0,7.572525408e-13,0
2000377060496_Node0_Node5_Zero,2000.37706,2000.387253,0,,0,8.045808246e-13,8.41391712e-14
