Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000004099172_Node0_Node4_Zero,2000.045143,2000.17367,1,RetryLimit,3635,0,nan
2000006150737_Node0_Node4_Zero,2000.045143,2000.17367,1,RetryLimit,3635,0,nan
2000008203343_Node0_Node4_Zero,2000.047213,2000.176806,0,,3594,7.572525408e-13,0
2000010254654_Node0_Node4_Zero,2000.047213,2000.176806,0,,3594,7.572525408e-13,0
2000012307617_Node0_Node4_Zero,2000.049103,2000.182751,0,,3594,7.572525408e-13,0
2000014355182_Node0_Node4_Zero,2000.049103,2000.182751,0,,3594,7.572525408e-13,0
2000016399401_Node0_Node4_Zero,2000.05301,2000.186534,0,,3594,7.572525408e-13,0
2000018443673_Node0_Node4_Zero,2000.05301,2000.186534,0,,3594,7.572525408e-13,0
2000020488379_Node0_Node4_Zero,2000.05494,2000.191574,0,,3641,7.572525408e-13,0
2000022534000_Node0_Node4_Zero,2000.05494,2000.191574,0,,3641,7.572525408e-13,0
2000024584130_Node0_Node4_Zero,2000.058986,2000.19564,0,,3558,7.572525408e-13,0
2000026634092_Node0_Node4_Zero,2000.058986,2000.19564,0,,3558,7.572525408e-13,0
2000028683261_Node0_Node4_Zero,2000.061076,2000.19777,0,,3469,7.572525408e-13,0
2000030735360_Node0_Node4_Zero,2000.061076,2000.19777,0,,3469,7.572525408e-13,0
2000032783997_Node0_Node4_Zero,2000.063026,2000.201243,0,,3425,7.572525408e-13,0
2000034834000_Node0_Node4_Zero,2000.063026,2000.201243,0,,3425,7.572525408e-13,0
2000036881485_Node0_Node4_Zero,2000.065076,2000.2053,0,,3336,7.572525408e-13,0
2000038928934_Node0_Node4_Zero,2000.065076,2000.2053,0,,3336,7.572525408e-13,0
2000040978914_Node0_Node4_Zero,2000.067126,2000.2074,0,,3247,7.572525408e-13,0
2000043026538_Node0_Node4_Zero,2000.067126,2000.2074,0,,3247,7.572525408e-13,0
2000045074356_Node0_Node4_Zero,2000.073089,2000.20947,0,,3158,7.572525408e-13,0
2000047125107_Node0_Node4_Zero,2000.073089,2000.20947,0,,3158,7.572525408e-13,0
2000049173365_Node0_Node4_Zero,2000.075219,2000.21146,0,,3069,7.572525408e-13,0
2000051220687_Node0_Node4_Zero,2000.075219,2000.21146,0,,3069,7.572525408e-13,0
2000053272006_Node0_Node4_Zero,2000.077369,2000.21343,0,,2980,7.572525408e-13,0
2000055317487_Node0_Node4_Zero,2000.077369,2000.21343,0,,2980,7.572525408e-13,0
2000057365979_Node0_Node4_Zero,2000.079399,2000.217497,0,,2893,7.572525408e-13,0
2000059417022_Node0_Node4_Zero,2000.079399,2000.217497,0,,2893,7.572525408e-13,0
2000061463316_Node0_Node4_Zero,2000.081569,2000.219447,0,,2804,7.572525408e-13,0
2000063517431_Node0_Node4_Zero,2000.081569,2000.219447,0,,2804,7.572525408e-13,0
2000065567930_Node0_Node4_Zero,2000.083459,2000.221317,0,,2715,7.572525408e-13,0
2000067616828_Node0_Node4_Zero,2000.083459,2000.221317,0,,2715,7.572525408e-13,0
2000069664637_Node0_Node4_Zero,2000.085569,2000.223227,0,,2626,7.572525408e-13,0
2000071710676_Node0_Node4_Zero,2000.085569,2000.223227,0,,2626,7.572525408e-13,0
2000073761229_Node0_Node4_Zero,2000.087499,2000.225157,0,,2537,7.572525408e-13,0
2000075809405_Node0_Node4_Zero,2000.087499,2000.225157,0,,2537,7.572525408e-13,0
2000077862432_Node0_Node4_Zero,2000.089489,2000.227247,0,,2448,7.572525408e-13,0
2000079908568_Node0_Node4_Zero,2000.089489,2000.227247,0,,2448,7.572525408e-13,0
2000081961933_Node0_Node4_Zero,2000.091519,2000.229137,0,,2359,7.572525408e-13,0
2000084011295_Node0_Node4_Zero,2000.091519,2000.229137,0,,2359,7.572525408e-13,0
2000086061644_Node0_Node4_Zero,2000.095566,2000.231147,0,,2270,7.572525408e-13,0
2000088106990_Node0_Node4_Zero,2000.095566,2000.231147,0,,2270,7.572525408e-13,0
2000090159939_Node0_Node4_Zero,2000.097656,2000.233017,0,,2181,7.572525408e-13,0
2000092212860_Node0_Node4_Zero,2000.097656,2000.233017,0,,2181,7.572525408e-13,0
