Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded
Node0,0,0,0,0,0,0,0,0,0,0,9200,9200
Node1,0,0,0,0,9200,9200,0,0,9200,9200,9200,9200
Node2,0,0,0,0,9200,9200,0,0,9200,9200,9200,9200
Node3,0,0,0,0,9200,9200,0,0,9200,9200,9200,9200
Node4,0,0,0,0,9200,9200,0,0,9200,9200,9200,9200
Node5,0,0,0,0,9200,9200,0,0,9200,9200,0,0
Node6,0,0,0,0,0,0,0,0,0,0,0,0
