Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2029.0-2030.0,238,101,0.42436974789915966,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2030.0-2031.0,288,97,0.3368055555555556,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2031.0-2032.0,236,94,0.3983050847457627,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2032.0-2033.0,235,90,0.3829787234042553,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2033.0-2034.0,283,62,0.21908127208480566,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2034.0-2035.0,218,90,0.41284403669724773,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2035.0-2036.0,222,68,0.3063063063063063,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2036.0-2037.0,254,83,0.32677165354330706,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2037.0-2038.0,218,103,0.4724770642201835,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2038.0-2039.0,249,94,0.37751004016064255,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2039.0-2040.0,229,93,0.40611353711790393,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2040.0-2041.0,236,73,0.3093220338983051,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2041.0-2042.0,238,88,0.3697478991596639,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2042.0-2043.0,287,86,0.29965156794425085,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2043.0-2044.0,301,71,0.23588039867109634,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2044.0-2045.0,238,75,0.31512605042016806,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
