Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.0-2001.0,488,47,0.09631147540983606,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2001.0-2002.0,488,56,0.11475409836065574,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2002.0-2003.0,341,82,0.2404692082111437,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2003.0-2004.0,302,75,0.24834437086092714,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2004.0-2005.0,358,74,0.20670391061452514,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2005.0-2006.0,310,56,0.18064516129032257,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2006.0-2007.0,324,67,0.20679012345679013,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2007.0-2008.0,304,69,0.22697368421052633,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2008.0-2009.0,248,74,0.29838709677419356,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2009.0-2010.0,300,93,0.31,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2010.0-2011.0,355,79,0.22253521126760564,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2011.0-2012.0,317,62,0.19558359621451105,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2012.0-2013.0,308,70,0.22727272727272727,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2013.0-2014.0,311,74,0.2379421221864952,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2014.0-2015.0,292,65,0.2226027397260274,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2015.0-2016.0,314,75,0.23885350318471338,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2016.0-2017.0,337,62,0.18397626112759644,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2017.0-2018.0,323,65,0.20123839009287925,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2018.0-2019.0,238,76,0.31932773109243695,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2019.0-2020.0,307,73,0.23778501628664495,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2020.0-2021.0,301,75,0.24916943521594684,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2021.0-2022.0,354,85,0.2401129943502825,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2022.0-2023.0,315,53,0.16825396825396827,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2023.0-2024.0,309,72,0.23300970873786409,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2024.0-2025.0,296,65,0.2195945945945946,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2025.0-2026.0,325,75,0.23076923076923078,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2026.0-2027.0,318,72,0.22641509433962265,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2027.0-2028.0,337,66,0.19584569732937684,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2028.0-2029.0,248,72,0.2903225806451613,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2029.0-2030.0,343,87,0.2536443148688047,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2030.0-2031.0,251,62,0.24701195219123506,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2031.0-2032.0,365,75,0.2054794520547945,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2032.0-2033.0,269,63,0.2342007434944238,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2033.0-2034.0,270,70,0.25925925925925924,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2034.0-2035.0,284,83,0.29225352112676056,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2035.0-2036.0,333,80,0.24024024024024024,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2036.0-2037.0,315,65,0.20634920634920634,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2037.0-2038.0,302,61,0.20198675496688742,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2038.0-2039.0,300,71,0.23666666666666666,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2039.0-2040.0,306,79,0.2581699346405229,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
2040.0-2041.0,334,68,0.20359281437125748,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_0\Flow_Node0-Node5.csv
