Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.4-2001.4,92,117,1.2717391304347827,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2001.4-2002.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2002.4-2003.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2003.4-2004.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2004.4-2005.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2005.4-2006.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2006.4-2007.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2007.4-2008.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2008.4-2009.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2009.4-2010.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2010.4-2011.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2011.4-2012.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2012.4-2013.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2013.4-2014.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2014.4-2015.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2015.4-2016.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2016.4-2017.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2017.4-2018.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2018.4-2019.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2019.4-2020.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2020.4-2021.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2021.4-2022.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2022.4-2023.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2023.4-2024.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2024.4-2025.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2025.4-2026.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2026.4-2027.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2027.4-2028.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2028.4-2029.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2029.4-2030.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2030.4-2031.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2031.4-2032.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2032.4-2033.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2033.4-2034.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2034.4-2035.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2035.4-2036.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2036.4-2037.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2037.4-2038.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2038.4-2039.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2039.4-2040.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2040.4-2041.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2041.4-2042.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2042.4-2043.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2043.4-2044.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2044.4-2045.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2045.4-2046.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2046.4-2047.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2047.4-2048.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2048.4-2049.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2049.4-2050.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2050.4-2051.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2051.4-2052.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2052.4-2053.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2053.4-2054.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2054.4-2055.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
2055.4-2056.4,92,92,1.0,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_1-5_1\Flow_Node0-Node6.csv
