Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000271751729_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.271752,2000.272082,0.098852,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0032056546411151354",0.002765,3.320415,4.009487,22,22
2000282620744_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.282621,2000.282891,0.089893,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000293490122_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.29349,2000.29354,0.079024,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000304358308_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.304358,2000.304468,0.070146,5,5,2343.0,"0.0033615861803824006,0.004245157121108227,0.0026547294278017404,0.0026547294278017404,0.0031374051442095304",0.003211,2.052747,3.924124,22,22
2000315226977_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.315227,2000.326423,0.059277,5,1,2327.5,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0031374051442095304",0.002751,3.320415,3.924124,22,22
2000326092849_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.326093,2000.326423,0.050421,5,1,2327.5,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000336957996_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.336958,2000.337208,0.039556,5,1,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000347823071_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.347823,2000.347953,0.029821,5,0,2343.0,"0.0026547294278017404,0.004245157121108227,0.0026547294278017404,0.0026547294278017404,0.0032056546411151354",0.003083,3.320415,4.009487,22,22
2000358697252_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.358697,2000.358847,0.043126,5,6,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,1.658241,3.320415,22,22
2000369569480_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.369569,2000.369819,0.047479,5,0,2343.0,"0.003634152029247776,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002851,3.320415,3.320415,22,22
2000380437524_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.380438,2000.380708,0.03661,5,0,2343.0,"0.0038374076228215527,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002891,3.320415,3.320415,22,22
2000391309089_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.391309,2000.391639,0.027629,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.003007321564322313",0.002725,3.320415,3.761421,22,22
2000402176827_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.402177,2000.402287,0.016761,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.003007321564322313",0.002725,3.320415,3.761421,22,22
2000413049940_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.41305,2000.41328,0.012738,5,4,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0032056546411151354,0.003007321564322313",0.002835,1.711241,3.761421,22,22
2000423917725_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.423918,2000.424148,0.007623,5,1,2343.0,"0.003634152029247776,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0031374051442095304",0.002947,2.270024,3.924124,22,22
2000434788960_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.434789,2000.435099,0.005996,5,0,2343.0,"0.0037642356091349928,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002877,3.320415,3.320415,22,22
2000445661820_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.445662,2000.445952,0.006376,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
