Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000024584485_Node0_Node5_Zero,2000.236116,2000.382934,1,RetryLimit,3026,1.8642770153501205e-13,nan
2000028686596_Node0_Node5_Zero,2000.236116,2000.382934,1,RetryLimit,3026,1.8642770153501205e-13,nan
2000032789672_Node0_Node5_Zero,2000.239854,2000.387436,0,,2938,1.8642770153501205e-13,1.0486558211344427e-13
2000036892432_Node0_Node5_Zero,2000.239854,2000.387436,0,,2938,1.8642770153501205e-13,1.0486558211344427e-13
2000040994178_Node0_Node5_Zero,2000.246652,2000.389466,0,,2850,7.572525408e-13,0
2000045094775_Node0_Node5_Zero,2000.246652,2000.389466,0,,2850,7.572525408e-13,0
2000049193964_Node0_Node5_Zero,2000.248642,2000.395822,0,,2858,7.572525408e-13,0
2000053292181_Node0_Node5_Zero,2000.248642,2000.395822,0,,2858,7.572525408e-13,0
2000057388267_Node0_Node5_Zero,2000.251854,2000.397812,0,,2769,1.8642770153501205e-13,1.0486558211344427e-13
2000061490365_Node0_Node5_Zero,2000.251854,2000.397812,0,,2769,1.8642770153501205e-13,1.0486558211344427e-13
2000065587007_Node0_Node5_Zero,2000.258431,2000.401849,0,,2686,7.572525408e-13,0
2000069683257_Node0_Node5_Zero,2000.258431,2000.401849,0,,2686,7.572525408e-13,0
2000073785658_Node0_Node5_Zero,2000.260321,2000.403899,0,,2597,7.572525408e-13,0
2000077879827_Node0_Node5_Zero,2000.260321,2000.403899,0,,2597,7.572525408e-13,0
2000081980576_Node0_Node5_Zero,2000.262311,2000.405909,0,,2508,7.572525408e-13,0
2000086081345_Node0_Node5_Zero,2000.262311,2000.405909,0,,2508,7.572525408e-13,0
2000090177624_Node0_Node5_Zero,2000.266494,2000.407919,0,,2419,7.572525408e-13,0
2000094273268_Node0_Node5_Zero,2000.266494,2000.407919,0,,2419,7.572525408e-13,0
2000098375635_Node0_Node5_Zero,2000.268404,2000.409829,0,,2330,7.572525408e-13,0
2000102473410_Node0_Node5_Zero,2000.268404,2000.409829,0,,2330,7.572525408e-13,0
2000106576035_Node0_Node5_Zero,2000.272541,2000.411959,0,,2241,1.8642770153501205e-13,0
2000110678397_Node0_Node5_Zero,2000.272541,2000.411959,0,,2241,1.8642770153501205e-13,0
2000114778449_Node0_Node5_Zero,2000.277548,2000.414147,0,,2153,7.572525408e-13,0
2000118877179_Node0_Node5_Zero,2000.277548,2000.414147,0,,2153,7.572525408e-13,0
2000122974279_Node0_Node5_Zero,2000.279478,2000.416257,0,,2064,7.572525408e-13,0
2000127067691_Node0_Node5_Zero,2000.279478,2000.416257,0,,2064,7.572525408e-13,0
2000131164673_Node0_Node5_Zero,2000.282486,2000.423997,0,,2159,7.572525408e-13,0
2000135263862_Node0_Node5_Zero,2000.282486,2000.423997,0,,2159,7.572525408e-13,0
2000139366555_Node0_Node5_Zero,2000.285658,2000.425867,0,,2070,7.572525408e-13,0
2000143468778_Node0_Node5_Zero,2000.285658,2000.425867,0,,2070,7.572525408e-13,0
2000147570258_Node0_Node5_Zero,2000.29714,2000.43164,0,,2159,7.572525408e-13,0
2000151671161_Node0_Node5_Zero,2000.29714,2000.43164,0,,2159,7.572525408e-13,0
2000155765987_Node0_Node5_Zero,2000.30288,2000.435648,0,,2159,7.572525408e-13,0
2000159865285_Node0_Node5_Zero,2000.30288,2000.435648,0,,2159,7.572525408e-13,0
2000163962085_Node0_Node5_Zero,2000.309824,2000.441516,0,,2248,7.572525408e-13,0
2000168062345_Node0_Node5_Zero,2000.309824,2000.441516,0,,2248,7.572525408e-13,0
2000172162462_Node0_Node5_Zero,2000.311714,2000.443446,0,,2159,7.572525408e-13,0
2000176260422_Node0_Node5_Zero,2000.311714,2000.443446,0,,2159,7.572525408e-13,0
2000180354451_Node0_Node5_Zero,2000.317453,2000.445616,0,,2070,7.572525408e-13,0
2000184453357_Node0_Node5_Zero,2000.317453,2000.445616,0,,2070,7.572525408e-13,0
2000188550790_Node0_Node5_Zero,2000.322364,2000.455041,0,,2053,8.738360007999999e-13,0
2000192651998_Node0_Node5_Zero,2000.322364,2000.455041,0,,2053,8.738360007999999e-13,0
2000196745841_Node0_Node5_Zero,2000.325296,2000.457176,0,,1964,1.1658346e-13,6.557819625e-14
2000200841053_Node0_Node5_Zero,2000.325296,2000.457176,0,,1964,1.1658346e-13,6.557819625e-14
2000204942959_Node0_Node5_Zero,2000.327226,2000.459146,0,,1875,7.572525408e-13,0
2000209037607_Node0_Node5_Zero,2000.327226,2000.459146,0,,1875,7.572525408e-13,0
2000213131285_Node0_Node5_Zero,2000.329096,2000.46309,0,,1786,7.572525408e-13,0
2000217232577_Node0_Node5_Zero,2000.329096,2000.46309,0,,1786,7.572525408e-13,0
2000221335806_Node0_Node5_Zero,2000.333867,2000.470713,0,,1875,7.572525408e-13,0
2000225436771_Node0_Node5_Zero,2000.333867,2000.470713,0,,1875,7.572525408e-13,0
2000229537970_Node0_Node5_Zero,2000.34162,2000.472623,0,,1786,8.738360007999999e-13,0
2000233631862_Node0_Node5_Zero,2000.34162,2000.472623,0,,1786,8.738360007999999e-13,0
2000237733517_Node0_Node5_Zero,2000.347436,2000.474773,0,,1697,7.572525408e-13,0
2000241830952_Node0_Node5_Zero,2000.347436,2000.474773,0,,1697,7.572525408e-13,0
2000245928179_Node0_Node5_Zero,2000.351197,2000.478608,0,,1697,7.572525408e-13,0
2000250028300_Node0_Node5_Zero,2000.351197,2000.478608,0,,1697,7.572525408e-13,0
2000254123524_Node0_Node5_Zero,2000.35589,2000.48256,0,,1608,7.572525408e-13,0
2000258220141_Node0_Node5_Zero,2000.35589,2000.48256,0,,1608,7.572525408e-13,0
2000262320773_Node0_Node5_Zero,2000.359845,2000.48445,0,,1519,8.738360007999999e-13,0
2000266423786_Node0_Node5_Zero,2000.359845,2000.48445,0,,1519,8.738360007999999e-13,0
2000270524359_Node0_Node5_Zero,2000.361775,2000.48656,0,,1430,7.572525408e-13,0
2000274621977_Node0_Node5_Zero,2000.361775,2000.48656,0,,1430,7.572525408e-13,0
2000278720732_Node0_Node5_Zero,2000.368718,2000.48853,0,,1341,8.738360007999999e-13,0
2000282821015_Node0_Node5_Zero,2000.368718,2000.48853,0,,1341,8.738360007999999e-13,0
2000286916165_Node0_Node5_Zero,2000.372955,2000.49062,0,,1252,7.572525408e-13,0
2000291010567_Node0_Node5_Zero,2000.372955,2000.49062,0,,1252,7.572525408e-13,0
2000295112907_Node0_Node5_Zero,2000.37704,2000.49257,0,,1163,7.572525408e-13,0
2000299206716_Node0_Node5_Zero,2000.37704,2000.49257,0,,1163,7.572525408e-13,0
2000303300409_Node0_Node5_Zero,2000.37909,2000.49456,0,,1074,7.572525408e-13,0
2000307398012_Node0_Node5_Zero,2000.37909,2000.49456,0,,1074,7.572525408e-13,0
2000311496623_Node0_Node5_Zero,2000.385445,2000.49653,0,,1073,7.572525408e-13,0
2000315597820_Node0_Node5_Zero,2000.385445,2000.49653,0,,1073,7.572525408e-13,0
2000319700338_Node0_Node5_Zero,2000.41809,2000.49854,0,,880,7.572525408e-13,0
2000323799222_Node0_Node5_Zero,2000.41809,2000.49854,0,,880,7.572525408e-13,0
2000327893416_Node0_Node5_Zero,2000.421944,2000.50067,0,,785,7.572525408e-13,0
2000331992190_Node0_Node5_Zero,2000.421944,2000.50067,0,,785,7.572525408e-13,0
2000336093818_Node0_Node5_Zero,2000.427684,2000.50276,0,,696,7.572525408e-13,0
2000340191548_Node0_Node5_Zero,2000.427684,2000.50276,0,,696,7.572525408e-13,0
2000344292823_Node0_Node5_Zero,2000.429614,2000.50477,0,,607,7.572525408e-13,0
2000348386958_Node0_Node5_Zero,2000.429614,2000.50477,0,,607,7.572525408e-13,0
2000352489088_Node0_Node5_Zero,2000.433437,2000.50682,0,,518,7.572525408e-13,0
2000356586754_Node0_Node5_Zero,2000.433437,2000.50682,0,,518,7.572525408e-13,0
2000360689268_Node0_Node5_Zero,2000.43744,2000.50871,0,,429,7.572525408e-13,6.557819625e-14
2000364785986_Node0_Node5_Zero,2000.43744,2000.50871,0,,429,7.572525408e-13,6.557819625e-14
2000368885956_Node0_Node5_Zero,2000.43931,2000.516853,0,,341,7.572525408e-13,0
2000372987860_Node0_Node5_Zero,2000.43931,2000.516853,0,,341,7.572525408e-13,0
2000377090702_Node0_Node5_Zero,2000.464983,2000.51873,0,,180,7.572525408e-13,0
2000381191099_Node0_Node5_Zero,2000.464983,2000.51873,0,,180,7.572525408e-13,0
2000389393607_Node0_Node5_Zero,2000.468778,2000.524439,0,,180,8.738360007999999e-13,6.557819625e-14
2000393490099_Node0_Node5_Zero,2000.468778,2000.524439,0,,180,8.738360007999999e-13,6.557819625e-14
2000397591100_Node0_Node5_Zero,2000.476685,2000.526309,0,,91,7.572525408e-13,0
2000401689890_Node0_Node5_Zero,2000.476685,2000.526309,0,,91,7.572525408e-13,0
2000413987678_Node0_Node5_Zero,2000.522524,2000.528259,0,,1,8.738360007999999e-13,0
2000418090151_Node0_Node5_Zero,2000.522524,2000.528259,0,,1,8.738360007999999e-13,0
2000422183777_Node0_Node5_Zero,2000.531057,2000.533208,0,,0,7.572525408e-13,0
2000426280471_Node0_Node5_Zero,2000.531057,2000.533208,0,,0,7.572525408e-13,0
2000430382162_Node0_Node5_Zero,2000.543477,2000.545408,0,,0,8.738360007999999e-13,6.557819625e-14
2000434484767_Node0_Node5_Zero,2000.543477,2000.545408,0,,0,8.738360007999999e-13,6.557819625e-14
2000438584800_Node0_Node5_Zero,2000.549362,2000.551293,0,,0,8.738360007999999e-13,0
2000442678651_Node0_Node5_Zero,2000.549362,2000.551293,0,,0,8.738360007999999e-13,0
2000446776694_Node0_Node5_Zero,2000.607435,2000.613326,0,,177,7.572525408e-13,0
2000450878184_Node0_Node5_Zero,2000.607435,2000.613326,0,,177,7.572525408e-13,0
2000454977784_Node0_Node5_Zero,2000.609358,2000.617209,0,,178,9.25066963592912e-13,0
2000459074354_Node0_Node5_Zero,2000.609358,2000.617209,0,,178,9.25066963592912e-13,0
2000471366862_Node0_Node5_Zero,2000.665104,2000.669001,0,,90,9.2577376688569e-13,0
2000475463687_Node0_Node5_Zero,2000.665104,2000.669001,0,,90,9.2577376688569e-13,0
