Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000004100082_Node0_Node4_Zero,2000.006234,2000.008205,0,,0,6.363024822000001e-13,0
2000008200587_Node0_Node4_Zero,2000.012322,2000.014253,0,,0,6.363024822000001e-13,0
2000012295667_Node0_Node4_Zero,2000.018351,2000.020422,0,,0,6.363024822000001e-13,0
2000016397082_Node0_Node4_Zero,2000.022358,2000.026287,0,,6,6.363024822000001e-13,0
2000020498296_Node0_Node4_Zero,2000.034915,2000.037027,0,,0,6.363024822000001e-13,0
2000024600474_Node0_Node4_Zero,2000.041909,2000.04392,0,,0,6.363024822000001e-13,0
2000028703661_Node0_Node4_Zero,2000.045819,2000.058093,0,,96,6.363024822000001e-13,0
2000032805730_Node0_Node4_Zero,2000.047729,2000.079216,0,,102,6.363024822000001e-13,0
2000036906277_Node0_Node4_Zero,2000.052181,2000.081114,0,,96,6.363024822000001e-13,0
2000041003748_Node0_Node4_Zero,2000.054089,2000.083064,0,,7,6.363024822000001e-13,0
2000045098149_Node0_Node4_Zero,2000.056159,2000.088928,0,,14,6.363024822000001e-13,0
2000049199157_Node0_Node4_Zero,2000.059966,2000.105864,0,,287,6.363024822000001e-13,0
2000053300096_Node0_Node4_Zero,2000.065854,2000.107786,0,,281,6.363024822000001e-13,0
2000057403436_Node0_Node4_Zero,2000.067826,2000.111614,0,,287,6.363024822000001e-13,0
2000061499066_Node0_Node4_Zero,2000.069776,2000.113644,0,,287,6.363024822000001e-13,0
2000065594548_Node0_Node4_Zero,2000.071666,2000.119427,0,,287,6.363024822000001e-13,0
2000069692757_Node0_Node4_Zero,2000.073596,2000.125336,0,,383,6.363024822000001e-13,0
2000073791483_Node0_Node4_Zero,2000.075645,2000.138156,0,,484,6.363024822000001e-13,0
2000077885001_Node0_Node4_Zero,2000.093727,2000.142153,0,,476,6.363024822000001e-13,0
2000081979035_Node0_Node4_Zero,2000.095763,2000.146198,0,,387,6.363024822000001e-13,0
2000086075924_Node0_Node4_Zero,2000.097843,2000.166628,0,,310,6.363024822000001e-13,0
2000090176545_Node0_Node4_Zero,2000.101865,2000.170493,0,,216,6.363024822000001e-13,0
2000094270540_Node0_Node4_Zero,2000.103903,2000.207964,0,,305,6.363024822000001e-13,0
2000098369320_Node0_Node4_Zero,2000.117497,2000.209851,0,,299,6.363024822000001e-13,0
2000102472482_Node0_Node4_Zero,2000.121376,2000.213776,0,,210,6.363024822000001e-13,0
2000106575570_Node0_Node4_Zero,2000.128031,2000.234245,0,,394,6.363024822000001e-13,0
2000110669964_Node0_Node4_Zero,2000.134014,2000.240176,0,,303,6.363024822000001e-13,0
2000114771331_Node0_Node4_Zero,2000.144271,2000.251849,0,,301,6.363024822000001e-13,0
2000118865327_Node0_Node4_Zero,2000.179867,2000.255664,0,,206,6.363024822000001e-13,0
2000122967568_Node0_Node4_Zero,2000.18182,2000.259472,0,,209,6.363024822000001e-13,0
2000127062144_Node0_Node4_Zero,2000.18383,2000.261362,0,,209,6.363024822000001e-13,0
2000131160460_Node0_Node4_Zero,2000.18592,2000.276429,0,,211,6.363024822000001e-13,0
2000135256088_Node0_Node4_Zero,2000.18781,2000.278389,0,,211,6.363024822000001e-13,0
2000139357442_Node0_Node4_Zero,2000.1899,2000.333883,0,,301,6.363024822000001e-13,0
2000143453892_Node0_Node4_Zero,2000.19195,2000.339717,0,,301,6.363024822000001e-13,0
2000147552506_Node0_Node4_Zero,2000.19404,2000.350454,0,,405,6.363024822000001e-13,0
