Node Name,CTS Retry,ACK Retry,# Receiver Drops,# Pkts Receiver Drops,# Sent ACKs,# Pkts ACK Sent For,# Retransmissions,# Pkts Retransmitted,# Receptions,# Pkts Received,# Forwards,# Pkts Forwarded,drop_expiry,drop_q_mngmnt,drop_retry,drop_overflow,drop_no_route
Node0,17468,150,0,0,0,0,17618,17618,0,0,24345,24345,0,0,0,0,0
Node1,12334,132,51,51,24345,24345,12466,12466,24345,24345,9653,9653,0,0,0,0,0
Node2,118,79,43,43,9653,9653,197,197,9653,9653,9653,9653,0,0,0,0,0
Node3,61,0,0,0,9671,9671,61,61,9671,9671,9653,9653,0,0,0,0,0
Node4,0,0,0,0,9653,9653,0,0,9653,9653,0,0,0,0,0,0,0
Node5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
