Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000221323072_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.221323,2000.221653,0.10607,4,1,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000229516006_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.229516,2000.23067,0.099867,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000237711161_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.237711,2000.238683,0.091672,4,1,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000245910111_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.24591,2000.247744,0.085423,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000254107696_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.254108,2000.256016,0.077225,4,1,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000262305699_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.262306,2000.262456,0.071117,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000270499803_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.2705,2000.27083,0.062923,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000278692693_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.278693,2000.279003,0.05688,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000286891957_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.286892,2000.287122,0.048681,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000295093654_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.295094,2000.295224,0.042509,4,0,2343.0,"0.06792251393773163,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.048837,3.320415,3.320415,22,22
